Player Name,Team Name,Price,Year
Ms dhoni,Chennai Super Kings,15 crore,2018
Suresh Raina,Chennai Super Kings,11 crore,2018
Deepak chahar,Chennai Super Kings,8 crore,2018
Kedar jadhav,Chennai Super Kings,7.8 crore,2018
Ravindra jadeja,Chennai Super Kings,7 crore,2018
Dwayne bravo,Chennai Super Kings,6.4 crore,2018
Karn sharma,Chennai Super Kings,5 crore,2018
Shane watson,Chennai Super Kings,4 crore,2018
Shardul thakur,Chennai Super Kings,2.6 crore,2018
Ambati rayudu,Chennai Super Kings,2.2 crore,2018
David willey,Chennai Super Kings,2 crore,2018
Harbhajan singh,Chennai Super Kings,2 crore,2018
Murali vijay,Chennai Super Kings,2 crore,2018
Faf du Plessis,Chennai Super Kings,1.6 crore,2018
Mark wood,Chennai Super Kings,1.5 crore,2018
Imran Tahir,Chennai Super Kings,1 crore,2018
Sam billings,Chennai Super Kings,1 crore,2018
Lungi Ngidi,Chennai Super Kings,0.5 crore,2018
Km asif,Chennai Super Kings,0.4 crore,2018
Dhruv shorey,Chennai Super Kings,0.2 crore,2018
Chris morris,Delhi Daredevils,11 crore,2018
Glenn maxwell,Delhi Daredevils,9 crore,2018
Rishabh pant,Delhi Daredevils,8 crore,2018
Shreyas iyer,Delhi Daredevils,7 crore,2018
Amit mishra,Delhi Daredevils,4 crore,2018
Shahbaz nadeem,Delhi Daredevils,3.2 crore,2018
Vijay shankar,Delhi Daredevils,3.2 crore,2018
Mohammad shami,Delhi Daredevils,3 crore,2018
Rahul tewatia,Delhi Daredevils,3 crore,2018
Gautam Gambhir,Delhi Daredevils,2.8 crore,2018
Trent boult,Delhi Daredevils,2.2 crore,2018
Liam Plunkett,Delhi Daredevils,2 crore,2018
Colin munro,Delhi Daredevils,1.9 crore,2018
Daniel christian,Delhi Daredevils,1.5 crore,2018
Jason Roy,Delhi Daredevils,1.5 crore,2018
Naman Ojha,Delhi Daredevils,1.4 crore,2018
Prithvi shaw,Delhi Daredevils,1.2 crore,2018
Avesh khan,Delhi Daredevils,0.75 crore,2018
Abhishek sharma,Delhi Daredevils,0.55 crore,2018
Junior Dala,Delhi Daredevils,0.5 crore,2018
Harshal patel,Delhi Daredevils,0.2 crore,2018
Sandeep lamichhane,Delhi Daredevils,0.2 crore,2018
Axar patel,Kings XI Punjab,12.5 crore,2018
Lokesh rahul,Kings XI Punjab,11 crore,2018
Ravichandran ashwin,Kings XI Punjab,7.6 crore,2018
Andrew tye,Kings XI Punjab,7.2 crore,2018
Aaron Finch,Kings XI Punjab,6.2 crore,2018
Marcus Stoinis,Kings XI Punjab,6.2 crore,2018
Karun nair,Kings XI Punjab,5.6 crore,2018
Mujeeb zadran,Kings XI Punjab,4 crore,2018
Ankit rajpoot,Kings XI Punjab,3 crore,2018
David Miller,Kings XI Punjab,3 crore,2018
Mohit sharma,Kings XI Punjab,2.4 crore,2018
Brainder sran,Kings XI Punjab,2.2 crore,2018
Chris gayle,Kings XI Punjab,2 crore,2018
Yuvraj singh,Kings XI Punjab,2 crore,2018
Mayank dagar,Kings XI Punjab,1.6 crore,2018
Akshdeep nath,Kings XI Punjab,1 crore,2018
Manoj tiwary,Kings XI Punjab,1 crore,2018
Mayank agarwal,Kings XI Punjab,1 crore,2018
Chris lynn,Kolkata Knight Riders,9.6 crore,2018
Andre russell,Kolkata Knight Riders,8.5 crore,2018
Sunil narine,Kolkata Knight Riders,8.5 crore,2018
Dinesh karthik,Kolkata Knight Riders,7.4 crore,2018
Robin uthappa,Kolkata Knight Riders,6.4 crore,2018
Kuldeep yadav,Kolkata Knight Riders,5.8 crore,2018
Piyush chawla,Kolkata Knight Riders,4.2 crore,2018
Nitish rana,Kolkata Knight Riders,3.4 crore,2018
Shivam mavi,Kolkata Knight Riders,3 crore,2018
Mitchell johnson,Kolkata Knight Riders,2 crore,2018
Shubman gill,Kolkata Knight Riders,1.8 crore,2018
Tom curran,Kolkata Knight Riders,1 crore,2018
Vinay kumar,Kolkata Knight Riders,1 crore,2018
Rinku singh,Kolkata Knight Riders,0.8 crore,2018
Javon searles,Kolkata Knight Riders,0.3 crore,2018
Prasidh krishna,Kolkata Knight Riders,0.2 crore,2018
Rohit sharma,Mumbai Indians,15 crore,2018
Hardik pandya,Mumbai Indians,11 crore,2018
Krunal pandya,Mumbai Indians,8.8 crore,2018
Jasprit bumrah,Mumbai Indians,7 crore,2018
Ishan kishan,Mumbai Indians,6.2 crore,2018
Kieron Pollard,Mumbai Indians,5.4 crore,2018
Evin lewis,Mumbai Indians,3.8 crore,2018
Suryakumar yadav,Mumbai Indians,3.2 crore,2018
Ben cutting,Mumbai Indians,2.2 crore,2018
Mustafizur rahman,Mumbai Indians,2.2 crore,2018
Rahul chahar,Mumbai Indians,1.9 crore,2018
Pradeep sangwan,Mumbai Indians,1.5 crore,2018
Jean paul duminy,Mumbai Indians,1 crore,2018
Mitchell mcclenaghan,Mumbai Indians,1 crore,2018
Akila dananjaya,Mumbai Indians,0.5 crore,2018
Aditya tare,Mumbai Indians,0.2 crore,2018
Mayank markande,Mumbai Indians,0.2 crore,2018
Ben stokes,Rajasthan Royals,12.5 crore,2018
Jaydev unadkat,Rajasthan Royals,11.5 crore,2018
Sanju samson,Rajasthan Royals,8 crore,2018
Jofra Archer,Rajasthan Royals,7.2 crore,2018
Krishnappa gowtham,Rajasthan Royals,6.2 crore,2018
Jos Buttler,Rajasthan Royals,4.4 crore,2018
Ajinkya rahane,Rajasthan Royals,4 crore,2018
Rahul tripathi,Rajasthan Royals,3.4 crore,2018
Dhawal kulkarni,Rajasthan Royals,0.75 crore,2018
Ben laughlin,Rajasthan Royals,0.5 crore,2018
Heinrich Klaasen,Rajasthan Royals,0.5 crore,2018
Ish sodhi,Rajasthan Royals,0.5 crore,2018
Stuart Binny,Rajasthan Royals,0.5 crore,2018
Anureet Singh,Rajasthan Royals,0.3 crore,2018
Ankit sharma,Rajasthan Royals,0.2 crore,2018
Mahipal lomror,Rajasthan Royals,0.2 crore,2018
Prashant chopra,Rajasthan Royals,0.2 crore,2018
Shreyas gopal,Rajasthan Royals,0.2 crore,2018
Virat kohli,Royal Challengers Bangalore,17 crore,2018
Ab de villiers,Royal Challengers Bangalore,11 crore,2018
Chris woakes,Royal Challengers Bangalore,7.4 crore,2018
Yuzvendra chahal,Royal Challengers Bangalore,6 crore,2018
Umesh yadav,Royal Challengers Bangalore,4.2 crore,2018
Brendon mccullum,Royal Challengers Bangalore,3.6 crore,2018
Washington sundar,Royal Challengers Bangalore,3.2 crore,2018
Quinton de Kock,Royal Challengers Bangalore,2.8 crore,2018
Mohammed siraj,Royal Challengers Bangalore,2.6 crore,2018
Colin de grandhomme,Royal Challengers Bangalore,2.2 crore,2018
Murugan ashwin,Royal Challengers Bangalore,2.2 crore,2018
Corey anderson,Royal Challengers Bangalore,2 crore,2018
Sarfaraz khan,Royal Challengers Bangalore,1.75 crore,2018
Moeen Ali,Royal Challengers Bangalore,1.7 crore,2018
Mandeep singh,Royal Challengers Bangalore,1.4 crore,2018
Manan vohra,Royal Challengers Bangalore,1.1 crore,2018
Pawan negi,Royal Challengers Bangalore,1 crore,2018
Tim southee,Royal Challengers Bangalore,1 crore,2018
Kulwant khejroliya,Royal Challengers Bangalore,0.85 crore,2018
Parthiv patel,Royal Challengers Bangalore,0.2 crore,2018
Manish pandey,Sunrisers Hyderabad,11 crore,2018
Rashid Khan,Sunrisers Hyderabad,9 crore,2018
Bhuvneshwar kumar,Sunrisers Hyderabad,8.5 crore,2018
Shikhar dhawan,Sunrisers Hyderabad,5.2 crore,2018
Wriddhiman saha,Sunrisers Hyderabad,5 crore,2018
Siddarth kaul,Sunrisers Hyderabad,3.8 crore,2018
Deepak hooda,Sunrisers Hyderabad,3.6 crore,2018
Khaleel ahmed,Sunrisers Hyderabad,3 crore,2018
Sandeep sharma,Sunrisers Hyderabad,3 crore,2018
Kane williamson,Sunrisers Hyderabad,3 crore,2018
Carlos brathwaite,Sunrisers Hyderabad,2 crore,2018
Chris jordan,Sunrisers Hyderabad,2 crore,2018
Shakib al hasan,Sunrisers Hyderabad,2 crore,2018
Yusuf Pathan,Sunrisers Hyderabad,1.9 crore,2018
Alex hales,Sunrisers Hyderabad,1 crore,2018
Mohammad nabi,Sunrisers Hyderabad,1 crore,2018
Shreevats goswami,Sunrisers Hyderabad,1 crore,2018
Basil thampi,Sunrisers Hyderabad,0.95 crore,2018
Billy stanlake,Sunrisers Hyderabad,0.5 crore,2018
Ricky bhui,Sunrisers Hyderabad,0.2 crore,2018
Ms dhoni,Chennai Super Kings,15 crore,2019
Suresh Raina,Chennai Super Kings,11.0 crore,2019
Deepak chahar,Chennai Super Kings,8 crore,2019
Kedar jadhav,Chennai Super Kings,7.8 crore,2019
Ravindra jadeja,Chennai Super Kings,7 crore,2019
Dwayne bravo,Chennai Super Kings,6.4 crore,2019
Mohit sharma,Chennai Super Kings,5 crore,2019
Karn sharma,Chennai Super Kings,5 crore,2019
Shane watson,Chennai Super Kings,4 crore,2019
Shardul thakur,Chennai Super Kings,2.6 crore,2019
Ambati rayudu,Chennai Super Kings,2.2 crore,2019
Murali vijay,Chennai Super Kings,2 crore,2019
Harbhajan singh,Chennai Super Kings,2 crore,2019
Faf du Plessis,Chennai Super Kings,1.6 crore,2019
Imran Tahir,Chennai Super Kings,1 crore,2019
Sam billings,Chennai Super Kings,1 crore,2019
Mitchell santner,Chennai Super Kings,0.5 crore,2019
Scott kuggeleijn,Chennai Super Kings,0.5 crore,2019
Dhruv shorey,Chennai Super Kings,0.2 crore,2019
Sandeep lamichhane,Delhi Capitals,20 crore,2019
Chris morris,Delhi Capitals,11 crore,2019
Rishabh pant,Delhi Capitals,8 crore,2019
Shreyas iyer,Delhi Capitals,7 crore,2019
Colin Ingram,Delhi Capitals,6.4 crore,2019
Shikhar dhawan,Delhi Capitals,5.2 crore,2019
Axar patel,Delhi Capitals,5 crore,2019
Kagiso Rabada,Delhi Capitals,4.2 crore,2019
Amit mishra,Delhi Capitals,4 crore,2019
Rahul tewatia,Delhi Capitals,3 crore,2019
Hanuma vihari,Delhi Capitals,2 crore,2019
Sherfane rutherford,Delhi Capitals,2 crore,2019
Colin munro,Delhi Capitals,1.9 crore,2019
Prithvi shaw,Delhi Capitals,1.2 crore,2019
Ishant sharma,Delhi Capitals,1.1 crore,2019
Avesh khan,Delhi Capitals,0.7 crore,2019
Keemo Paul,Delhi Capitals,0.5 crore,2019
Jagadeesha suchith,Delhi Capitals,0.2 crore,2019
Harshal patel,Delhi Capitals,0.2 crore,2019
Trent boult,Delhi Capitals,0 crore,2019
Lokesh rahul,Kings XI Punjab,11 crore,2019
Varun chakravarthy,Kings XI Punjab,8.4 crore,2019
Ravichandran ashwin,Kings XI Punjab,7.6 crore,2019
Sam Curran,Kings XI Punjab,7.2 crore,2019
Andrew tye,Kings XI Punjab,7.2 crore,2019
Karun nair,Kings XI Punjab,5.6 crore,2019
Mohammad shami,Kings XI Punjab,4.8 crore,2019
