type,latency
cache,1050
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,84
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,80493
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,84
cache,63
cache,84
cache,84
cache,84
cache,84
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,63
cache,84
cache,84
cache,63
cache,63
cache,84
cache,84
cache,84
cache,84
cache,84
cache,84
cache,84
cache,84
dram,1722
dram,882
dram,882
dram,945
dram,966
dram,945
dram,1764
dram,945
dram,882
dram,1134
dram,924
dram,1029
dram,987
dram,1470
dram,1134
dram,1638
dram,1050
dram,1176
dram,882
dram,1302
dram,1974
dram,2121
dram,861
dram,1596
dram,1281
dram,882
dram,1512
dram,945
dram,1386
dram,1008
dram,987
dram,882
dram,903
dram,1260
dram,2184
dram,1155
dram,1470
dram,1617
dram,1638
dram,945
dram,1008
dram,987
dram,1302
dram,987
dram,861
dram,1974
dram,1008
dram,882
dram,924
dram,1407
dram,1848
dram,882
dram,966
dram,1029
dram,1239
dram,966
dram,1491
dram,1491
dram,1281
dram,882
dram,1008
dram,1512
dram,966
dram,1260
dram,924
dram,861
dram,987
dram,924
dram,2247
dram,1407
dram,903
dram,1218
dram,1386
dram,903
dram,1092
dram,861
dram,1365
dram,945
dram,1260
